Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,
9415071,MALARIA_ACT_TREATED,COUNTRY,NER,AFR,Africa,YEAR,2024,,,,,,,,,6 284 824,6284824,,,,2025-12-19T14:38:23Z,2024,01/01/2024,31/12/2024,,
9450565,MALARIA_ACT_TREATED,COUNTRY,SWZ,AFR,Africa,YEAR,2022,,,,,,,,,367,367,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
9471732,MALARIA_ACT_TREATED,COUNTRY,COD,AFR,Africa,YEAR,2018,,,,,,,,,8 997 911,8997911,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
9491998,MALARIA_ACT_TREATED,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2021,,,,,,,,,15 127,15127,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
9495644,MALARIA_ACT_TREATED,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2022,,,,,,,,,12 042,12042,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
9500728,MALARIA_ACT_TREATED,COUNTRY,TGO,AFR,Africa,YEAR,2023,,,,,,,,,2 266 996,2266996,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
9536735,MALARIA_ACT_TREATED,COUNTRY,BLZ,AMR,Americas,YEAR,2019,,,,,,,,,0,0,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
9551643,MALARIA_ACT_TREATED,COUNTRY,BDI,AFR,Africa,YEAR,2019,,,,,,,,,8 444 710,8444710,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
9602360,MALARIA_ACT_TREATED,COUNTRY,SLB,WPR,Western Pacific,YEAR,2020,,,,,,,,,86 319,86319,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
9672199,MALARIA_ACT_TREATED,COUNTRY,MYS,WPR,Western Pacific,YEAR,2020,,,,,,,,,2829,2829,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
9675352,MALARIA_ACT_TREATED,COUNTRY,GHA,AFR,Africa,YEAR,2020,,,,,,,,,5 174 075,5174075,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
9708930,MALARIA_ACT_TREATED,COUNTRY,CPV,AFR,Africa,YEAR,2018,,,,,,,,,21,21,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
9720240,MALARIA_ACT_TREATED,COUNTRY,RWA,AFR,Africa,YEAR,2021,,,,,,,,,1 059 628,1059628,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
9730210,MALARIA_ACT_TREATED,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2017,,,,,,,,,30,30,,,,2025-12-19T14:38:23Z,2017,01/01/2017,31/12/2017,,
9746667,MALARIA_ACT_TREATED,COUNTRY,ETH,AFR,Africa,YEAR,2018,,,,,,,,,748 601,748601,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
9767095,MALARIA_ACT_TREATED,COUNTRY,SUR,AMR,Americas,YEAR,2022,,,,,,,,,7,7,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
