Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,
9413539,MALARIA_EST_INCIDENCE,COUNTRY,GAB,AFR,Africa,YEAR,2017,,,,,,,,,184.66 [114.34-284.61],184.6590013,114.3375562,284.6133224,,2025-12-19T14:24:05Z,2017,01/01/2017,31/12/2017,,
9422901,MALARIA_EST_INCIDENCE,COUNTRY,DZA,AFR,Africa,YEAR,2014,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2014,01/01/2014,31/12/2014,,
9424593,MALARIA_EST_INCIDENCE,COUNTRY,STP,AFR,Africa,YEAR,2020,,,,,,,,,8.89 [8.89-8.89],8.890053993,8.890053993,8.890053993,,2025-12-19T14:24:05Z,2020,01/01/2020,31/12/2020,,
9435080,MALARIA_EST_INCIDENCE,COUNTRY,KHM,WPR,Western Pacific,YEAR,2017,,,,,,,,,17.73 [15.27-20.75],17.72691511,15.26842026,20.75389152,,2025-12-19T14:24:05Z,2017,01/01/2017,31/12/2017,,
9437335,MALARIA_EST_INCIDENCE,COUNTRY,UGA,AFR,Africa,YEAR,2004,,,,,,,,,442.78 [343.35-564.05],442.7841558,343.3523799,564.0452776,,2025-12-19T14:24:05Z,2004,01/01/2004,31/12/2004,,
9437500,MALARIA_EST_INCIDENCE,COUNTRY,ECU,AMR,Americas,YEAR,2022,,,,,,,,,0.13 [0.13-0.13],0.133454749,0.133454749,0.133454749,,2025-12-19T14:24:05Z,2022,01/01/2022,31/12/2022,,
9438633,MALARIA_EST_INCIDENCE,COUNTRY,SEN,AFR,Africa,YEAR,2018,,,,,,,,,65.83 [45.83-88.10],65.83047734,45.83155089,88.09923662,,2025-12-19T14:24:05Z,2018,01/01/2018,31/12/2018,,
9443050,MALARIA_EST_INCIDENCE,COUNTRY,COL,AMR,Americas,YEAR,2019,,,,,,,,,11.16 [8.33-14.32],11.15898015,8.331781929,14.31791495,,2025-12-19T14:24:05Z,2019,01/01/2019,31/12/2019,,
9447976,MALARIA_EST_INCIDENCE,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,14.15 [10.92-17.96],14.14675946,10.916378,17.96388176,,2025-12-19T14:24:05Z,2019,01/01/2019,31/12/2019,,
9449430,MALARIA_EST_INCIDENCE,COUNTRY,GTM,AMR,Americas,YEAR,2022,,,,,,,,,0.14 [0.14-0.14],0.137749644,0.137749644,0.137749644,,2025-12-19T14:24:05Z,2022,01/01/2022,31/12/2022,,
9450414,MALARIA_EST_INCIDENCE,COUNTRY,PRY,AMR,Americas,YEAR,2015,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2015,01/01/2015,31/12/2015,,
9460513,MALARIA_EST_INCIDENCE,COUNTRY,ZWE,AFR,Africa,YEAR,2024,,,,,,,,,11.36 [6.83-16.36],11.36272542,6.827783476,16.36238798,,2025-12-19T14:24:05Z,2024,01/01/2024,31/12/2024,,
9461617,MALARIA_EST_INCIDENCE,COUNTRY,NAM,AFR,Africa,YEAR,2022,,,,,,,,,7.38 [5.84-9.03],7.378135206,5.842604142,9.029659467,,2025-12-19T14:24:05Z,2022,01/01/2022,31/12/2022,,
9462903,MALARIA_EST_INCIDENCE,COUNTRY,CAF,AFR,Africa,YEAR,2022,,,,,,,,,354.50 [169.76-661.86],354.5004265,169.7585778,661.8623553,,2025-12-19T14:24:05Z,2022,01/01/2022,31/12/2022,,
9485958,MALARIA_EST_INCIDENCE,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2007,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2007,01/01/2007,31/12/2007,,
9493738,MALARIA_EST_INCIDENCE,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,14.10 [9.67-19.68],14.09739894,9.667464512,19.68083471,,2025-12-19T14:24:05Z,2015,01/01/2015,31/12/2015,,
