Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,
9418354,MALARIA_EST_MORTALITY,COUNTRY,ECU,AMR,Americas,YEAR,2010,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:27:58Z,2010,01/01/2010,31/12/2010,,
9419800,MALARIA_EST_MORTALITY,COUNTRY,COD,AFR,Africa,YEAR,2015,,,,,,,,,74.59 [57.80-95.82],74.58826919,57.79794915,95.82386151,,2025-12-19T14:27:58Z,2015,01/01/2015,31/12/2015,,
9438674,MALARIA_EST_MORTALITY,COUNTRY,CPV,AFR,Africa,YEAR,2008,,,,,,,,,1.53 [1.53-1.53],1.534307107,1.534307107,1.534307107,,2025-12-19T14:27:58Z,2008,01/01/2008,31/12/2008,,
9442569,MALARIA_EST_MORTALITY,COUNTRY,CHN,WPR,Western Pacific,YEAR,2013,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:27:58Z,2013,01/01/2013,31/12/2013,,
9456613,MALARIA_EST_MORTALITY,COUNTRY,COG,AFR,Africa,YEAR,2019,,,,,,,,,39.70 [34.52-48.48],39.70330415,34.52229002,48.48076108,,2025-12-19T14:27:58Z,2019,01/01/2019,31/12/2019,,
9461430,MALARIA_EST_MORTALITY,COUNTRY,MDG,AFR,Africa,YEAR,2005,,,,,,,,,8.55 [0.36-22.42],8.549191726,0.360130787,22.41788052,,2025-12-19T14:27:58Z,2005,01/01/2005,31/12/2005,,
9472906,MALARIA_EST_MORTALITY,COUNTRY,KGZ,EUR,Europe,YEAR,2013,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:27:58Z,2013,01/01/2013,31/12/2013,,
9485898,MALARIA_EST_MORTALITY,COUNTRY,SSD,AFR,Africa,YEAR,2016,,,,,,,,,68.24 [44.22-104.44],68.24497128,44.21934346,104.4403829,,2025-12-19T14:27:58Z,2016,01/01/2016,31/12/2016,,
9488566,MALARIA_EST_MORTALITY,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2004,,,,,,,,,0.09 [0.09-0.09],0.092646354,0.092646354,0.092646354,,2025-12-19T14:27:58Z,2004,01/01/2004,31/12/2004,,
9492321,MALARIA_EST_MORTALITY,COUNTRY,TCD,AFR,Africa,YEAR,2022,,,,,,,,,75.58 [57.66-102.70],75.58114786,57.66103082,102.6997744,,2025-12-19T14:27:58Z,2022,01/01/2022,31/12/2022,,
9501800,MALARIA_EST_MORTALITY,COUNTRY,THA,SEAR,South-East Asia,YEAR,2007,,,,,,,,,0.76 [0.76-0.76],0.761779108,0.761779108,0.761779108,,2025-12-19T14:27:58Z,2007,01/01/2007,31/12/2007,,
9511237,MALARIA_EST_MORTALITY,COUNTRY,VNM,WPR,Western Pacific,YEAR,2016,,,,,,,,,0.01 [0-0.02],0.010104356,0.004330438,0.017321753,,2025-12-19T14:27:58Z,2016,01/01/2016,31/12/2016,,
9517128,MALARIA_EST_MORTALITY,COUNTRY,KEN,AFR,Africa,YEAR,2012,,,,,,,,,23.25 [22.70-23.83],23.24765211,22.70308788,23.83322955,,2025-12-19T14:27:58Z,2012,01/01/2012,31/12/2012,,
9537337,MALARIA_EST_MORTALITY,COUNTRY,MRT,AFR,Africa,YEAR,2000,,,,,,,,,26.52 [25.45-27.78],26.51676468,25.44538025,27.77946776,,2025-12-19T14:27:58Z,2000,01/01/2000,31/12/2000,,
9552271,MALARIA_EST_MORTALITY,COUNTRY,MDG,AFR,Africa,YEAR,2014,,,,,,,,,12.31 [5.14-21.99],12.30801635,5.136416271,21.99149358,,2025-12-19T14:27:58Z,2014,01/01/2014,31/12/2014,,
9569019,MALARIA_EST_MORTALITY,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2004,,,,,,,,,30.90 [13.20-55.26],30.90166927,13.19862138,55.25776778,,2025-12-19T14:27:58Z,2004,01/01/2004,31/12/2004,,
9571237,MALARIA_EST_MORTALITY,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2007,,,,,,,,,0.02 [0.02-0.02],0.021216625,0.021216625,0.021216625,,2025-12-19T14:27:58Z,2007,01/01/2007,31/12/2007,,
9582115,MALARIA_EST_MORTALITY,COUNTRY,BOL,AMR,Americas,YEAR,2012,,,,,,,,,0.08 [0.02-0.15],0.083845033,0.020961258,0.146728807,,2025-12-19T14:27:58Z,2012,01/01/2012,31/12/2012,,
9583038,MALARIA_EST_MORTALITY,COUNTRY,TUR,EUR,Europe,YEAR,2008,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:27:58Z,2008,01/01/2008,31/12/2008,,
9586803,MALARIA_EST_MORTALITY,COUNTRY,CHN,WPR,Western Pacific,YEAR,2010,,,,,,,,,0 [0-0],0.003361344,0.003361344,0.003361344,,2025-12-19T14:27:58Z,2010,01/01/2010,31/12/2010,,
9587410,MALARIA_EST_MORTALITY,COUNTRY,MWI,AFR,Africa,YEAR,2019,,,,,,,,,36.22 [32.26-41.83],36.22458655,32.26153689,41.82751883,,2025-12-19T14:27:58Z,2019,01/01/2019,31/12/2019,,
9596992,MALARIA_EST_MORTALITY,COUNTRY,MEX,AMR,Americas,YEAR,2017,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:27:58Z,2017,01/01/2017,31/12/2017,,
9601564,MALARIA_EST_MORTALITY,COUNTRY,GMB,AFR,Africa,YEAR,2009,,,,,,,,,27.89 [26.88-29.02],27.89322772,26.87795698,29.01536906,,2025-12-19T14:27:58Z,2009,01/01/2009,31/12/2009,,
