Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,,
9255061,MALARIA_IRS_COVERAGE,COUNTRY,BRA,AMR,Americas,YEAR,2021,,,,,,,,,202 715,202715,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
4496501,MALARIA_IRS_COVERAGE,COUNTRY,IDN,WPR,Western Pacific,YEAR,2022,,,,,,,,,161 335,161335,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
3313141,MALARIA_IRS_COVERAGE,COUNTRY,IND,SEAR,South-East Asia,YEAR,2015,,,,,,,,,41 849 017,41849017,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
9274120,MALARIA_IRS_COVERAGE,COUNTRY,BEN,AFR,Africa,YEAR,2018,,,,,,,,,1 321 758,1321758,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
1236071,MALARIA_IRS_COVERAGE,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2021,,,,,,,,,120 166,120166,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
2481477,MALARIA_IRS_COVERAGE,COUNTRY,PAN,AMR,Americas,YEAR,2018,,,,,,,,,19 500,19500,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
7773933,MALARIA_IRS_COVERAGE,COUNTRY,MWI,AFR,Africa,YEAR,2020,,,,,,,,,2 379 659,2379659,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
545465,MALARIA_IRS_COVERAGE,COUNTRY,UGA,AFR,Africa,YEAR,2023,,,,,,,,,6 043 526,6043526,,,,2025-12-19T14:55:21Z,2023,01/01/2023,31/12/2023,,,
5414872,MALARIA_IRS_COVERAGE,COUNTRY,SLE,AFR,Africa,YEAR,2023,,,,,,,,,753 214,753214,,,,2025-12-19T14:55:21Z,2023,01/01/2023,31/12/2023,,,
5649174,MALARIA_IRS_COVERAGE,REGION,AFR,,,YEAR,2019,,,,,,,,,57 736 914,57736914,,,,2025-12-19T14:55:21Z,2019,01/01/2019,31/12/2019,,,
