Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,,
7685827,MALARIA_ITN_COVERAGE,COUNTRY,NGA,AFR,Africa,YEAR,2021,,,,,,,,,46.58,46.5844018,,,,2025-12-19T14:59:35Z,2021,01/01/2021,31/12/2021,,,
4839065,MALARIA_ITN_COVERAGE,COUNTRY,GNB,AFR,Africa,YEAR,2020,,,,,,,,,23.43,23.4327865,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
8736029,MALARIA_ITN_COVERAGE,COUNTRY,BFA,AFR,Africa,YEAR,2024,,,,,,,,,61.38,61.3797808,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
4097232,MALARIA_ITN_COVERAGE,COUNTRY,COD,AFR,Africa,YEAR,2022,,,,,,,,,74.87,74.8693163,,,,2025-12-19T14:59:35Z,2022,01/01/2022,31/12/2022,,,
3180456,MALARIA_ITN_COVERAGE,COUNTRY,CIV,AFR,Africa,YEAR,2023,,,,,,,,,48.59,48.5934138,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
6446697,MALARIA_ITN_COVERAGE,COUNTRY,SSD,AFR,Africa,YEAR,2015,,,,,,,,,18.84,18.8355991,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
2373769,MALARIA_ITN_COVERAGE,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2023,,,,,,,,,79.96,79.9623317,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
6484801,MALARIA_ITN_COVERAGE,COUNTRY,ERI,AFR,Africa,YEAR,2019,,,,,,,,,56.67,56.6749031,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
4090913,MALARIA_ITN_COVERAGE,COUNTRY,TCD,AFR,Africa,YEAR,2021,,,,,,,,,55.27,55.2656347,,,,2025-12-19T14:59:35Z,2021,01/01/2021,31/12/2021,,,
2557347,MALARIA_ITN_COVERAGE,COUNTRY,LBR,AFR,Africa,YEAR,2020,,,,,,,,,22.38,22.3779912,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
1128129,MALARIA_ITN_COVERAGE,COUNTRY,SLE,AFR,Africa,YEAR,2022,,,,,,,,,59.78,59.7750611,,,,2025-12-19T14:59:35Z,2022,01/01/2022,31/12/2022,,,
2361089,MALARIA_ITN_COVERAGE,COUNTRY,KEN,AFR,Africa,YEAR,2024,,,,,,,,,62.18,62.18226,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
9447798,MALARIA_ITN_COVERAGE,COUNTRY,GMB,AFR,Africa,YEAR,2019,,,,,,,,,61.47,61.4717551,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
2544758,MALARIA_ITN_COVERAGE,COUNTRY,MOZ,AFR,Africa,YEAR,2019,,,,,,,,,51.68,51.6830931,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
10170757,MALARIA_ITN_COVERAGE,COUNTRY,TCD,AFR,Africa,YEAR,2017,,,,,,,,,52.34,52.3437628,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
3553684,MALARIA_ITN_COVERAGE,COUNTRY,CAF,AFR,Africa,YEAR,2016,,,,,,,,,61,60.9968889,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
9561627,MALARIA_ITN_COVERAGE,COUNTRY,BDI,AFR,Africa,YEAR,2024,,,,,,,,,39.6,39.5970732,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
1324962,MALARIA_ITN_COVERAGE,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,25.38,25.3787931,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
2833222,MALARIA_ITN_COVERAGE,COUNTRY,RWA,AFR,Africa,YEAR,2023,,,,,,,,,69.85,69.850113,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
3901303,MALARIA_ITN_COVERAGE,COUNTRY,TZA,AFR,Africa,YEAR,2024,,,,,,,,,65.97,65.9742048,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
9033419,MALARIA_ITN_COVERAGE,COUNTRY,SEN,AFR,Africa,YEAR,2023,,,,,,,,,60.55,60.5496613,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
9039773,MALARIA_ITN_COVERAGE,COUNTRY,SLE,AFR,Africa,YEAR,2016,,,,,,,,,41.58,41.578415,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
1765167,MALARIA_ITN_COVERAGE,COUNTRY,SSD,AFR,Africa,YEAR,2017,,,,,,,,,59.02,59.0212745,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
2671274,MALARIA_ITN_COVERAGE,COUNTRY,COD,AFR,Africa,YEAR,2015,,,,,,,,,54.73,54.725145,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
3585125,MALARIA_ITN_COVERAGE,COUNTRY,ZWE,AFR,Africa,YEAR,2020,,,,,,,,,45.54,45.5440123,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
