Model,Outcome,Variable,B,SE,p,Sig,95% CI,R²,Adj R²,N
Model 1 — Unadjusted,"Incidence per 1,000",itn_coverage_pct,1.42,0.276,0.0,***,"[0.879, 1.961]",0.0533,0.0506,351
Model 2 — Fully Adjusted,"Incidence per 1,000",itn_coverage_pct,1.064,0.322,0.001,***,"[0.432, 1.696]",0.1313,0.1187,351
Model 2 — Fully Adjusted,"Incidence per 1,000",irs_deployed,-35.766,12.686,0.0048,**,"[-60.630, -10.902]",0.1313,0.1187,351
Model 2 — Fully Adjusted,"Incidence per 1,000",act_deployed,-6.045,13.063,0.6435,,"[-31.648, 19.558]",0.1313,0.1187,351
Model 2 — Fully Adjusted,"Incidence per 1,000",log_gdp,-49.149,13.312,0.0002,***,"[-75.241, -23.057]",0.1313,0.1187,351
Model 2 — Fully Adjusted,"Incidence per 1,000",urban_pct,0.778,0.598,0.1926,,"[-0.393, 1.950]",0.1313,0.1187,351
Model 3 — Fully Adjusted,"Mortality per 100,000",itn_coverage_pct,0.184,0.085,0.0311,*,"[0.017, 0.350]",0.2267,0.2155,351
Model 3 — Fully Adjusted,"Mortality per 100,000",irs_deployed,-19.852,3.735,0.0,***,"[-27.173, -12.531]",0.2267,0.2155,351
Model 3 — Fully Adjusted,"Mortality per 100,000",act_deployed,-0.597,3.327,0.8577,,"[-7.118, 5.925]",0.2267,0.2155,351
Model 3 — Fully Adjusted,"Mortality per 100,000",log_gdp,-15.359,2.919,0.0,***,"[-21.080, -9.639]",0.2267,0.2155,351
Model 3 — Fully Adjusted,"Mortality per 100,000",urban_pct,0.003,0.154,0.9865,,"[-0.299, 0.304]",0.2267,0.2155,351
Model 4 — Regional Sensitivity,"Incidence per 1,000","C(sub_region, Treatment(""West""))[T.Central]",36.04,13.362,0.007,**,"[9.851, 62.228]",0.2501,0.2348,351
Model 4 — Regional Sensitivity,"Incidence per 1,000","C(sub_region, Treatment(""West""))[T.East]",-108.864,16.117,0.0,***,"[-140.452, -77.276]",0.2501,0.2348,351
Model 4 — Regional Sensitivity,"Incidence per 1,000",itn_coverage_pct,0.766,0.325,0.0185,*,"[0.129, 1.403]",0.2501,0.2348,351
Model 4 — Regional Sensitivity,"Incidence per 1,000",irs_deployed,9.933,14.021,0.4787,,"[-17.548, 37.414]",0.2501,0.2348,351
Model 4 — Regional Sensitivity,"Incidence per 1,000",act_deployed,-7.447,12.234,0.5427,,"[-31.424, 16.531]",0.2501,0.2348,351
Model 4 — Regional Sensitivity,"Incidence per 1,000",log_gdp,-33.794,12.452,0.0066,**,"[-58.200, -9.388]",0.2501,0.2348,351
Model 4 — Regional Sensitivity,"Incidence per 1,000",urban_pct,-1.5,0.623,0.0161,*,"[-2.721, -0.279]",0.2501,0.2348,351
